Date,DAT (day),Biomass measured time,biomass_g,plant_id,sheet,row_tier,DAT_numeric,biomass_delta_g,biomass_delta_pct
2022-02-21,1,05:00:00,2.3999999999999986,B22,B2,lower,1.0,,
2022-02-22,2,05:40:00,7.200000000000003,B22,B2,lower,2.0,4.800000000000004,200.0000000000003
2022-02-23,3,06:10:00,8.600000000000001,B22,B2,lower,3.0,1.3999999999999986,19.44444444444442
2022-02-24,4,03:30:00,8.899999999999999,B22,B2,lower,4.0,0.29999999999999716,3.4883720930232176
2022-02-25,5,05:00:00,11.700000000000003,B22,B2,lower,5.0,2.8000000000000043,31.460674157303426
2022-02-26,6,06:50:00,14.700000000000003,B22,B2,lower,6.0,3.0,25.64102564102564
2022-02-27,7,07:40:00,17.299999999999997,B22,B2,lower,7.0,2.5999999999999943,17.687074829931927
2022-02-28,8,07:40:00,21.200000000000003,B22,B2,lower,8.0,3.9000000000000057,22.543352601156098
2022-03-01,9,06:45:00,25.5,B22,B2,lower,9.0,4.299999999999997,20.28301886792452
2022-03-02,10,06:55:00,30.200000000000003,B22,B2,lower,10.0,4.700000000000003,18.43137254901961
2022-03-03,11,09:50:00,35.2,B22,B2,lower,11.0,5.0,16.55629139072847
2022-03-04,12,08:20:00,40.0,B22,B2,lower,12.0,4.799999999999997,13.636363636363624
2022-03-05,13,07:30:00,45.099999999999994,B22,B2,lower,13.0,5.099999999999994,12.749999999999995
2022-03-06,14,06:00:00,51.900000000000006,B22,B2,lower,14.0,6.800000000000011,15.077605321507793
2022-03-07,15,06:00:00,59.900000000000006,B22,B2,lower,15.0,8.0,15.41425818882467
2022-03-08,16,07:30:00,69.8,B22,B2,lower,16.0,9.899999999999991,16.527545909849728
2022-03-09,17,09:00:00,78.5,B22,B2,lower,17.0,8.700000000000003,12.464183381088834
2022-03-10,18,02:45:00,84.3,B22,B2,lower,18.0,5.799999999999997,7.388535031847132
2022-03-11,19,07:50:00,96.6,B22,B2,lower,19.0,12.299999999999997,14.590747330960841
2022-03-12,20,07:30:00,104.69999999999999,B22,B2,lower,20.0,8.099999999999994,8.385093167701863
2022-03-13,21,06:50:00,111.69999999999999,B22,B2,lower,21.0,7.0,6.685768863419295
2022-03-14,22,06:45:00,117.9,B22,B2,lower,22.0,6.200000000000017,5.550581915846031
2022-03-15,23,06:00:00,123.5,B22,B2,lower,23.0,5.599999999999994,4.749787955894824
2022-03-16,24,05:08:00,129.0,B22,B2,lower,24.0,5.5,4.453441295546567
2022-03-17,25,07:10:00,135.9,B22,B2,lower,25.0,6.900000000000006,5.348837209302326
2022-03-18,26,06:51:00,142.4,B22,B2,lower,26.0,6.5,4.782928623988236
2022-03-19,27,06:40:00,146.7,B22,B2,lower,27.0,4.299999999999983,3.0196629213482984
2022-03-20,28,05:25:00,143.2,B22,B2,lower,28.0,-3.5,-2.385821404226307
2022-03-21,29,04:00:00,148.3,B22,B2,lower,29.0,5.100000000000023,3.56145251396649
2022-03-22,30,05:00:00,152.3,B22,B2,lower,30.0,4.0,2.697235333782877
2022-03-23, 31 (harvest),,,B22,B2,lower,,,
2022-02-21,1,05:00:00,4.0,B23,B2,lower,1.0,,
2022-02-22,2,05:40:00,8.399999999999999,B23,B2,lower,2.0,4.399999999999999,109.99999999999997
2022-02-23,3,06:10:00,10.200000000000003,B23,B2,lower,3.0,1.8000000000000043,21.428571428571487
2022-02-24,4,03:30:00,10.600000000000001,B23,B2,lower,4.0,0.3999999999999986,3.9215686274509665
2022-02-25,5,05:00:00,13.299999999999997,B23,B2,lower,5.0,2.6999999999999957,25.47169811320751
2022-02-26,6,06:50:00,16.0,B23,B2,lower,6.0,2.700000000000003,20.300751879699263
2022-02-27,7,07:40:00,19.1,B23,B2,lower,7.0,3.1000000000000014,19.375000000000007
2022-02-28,8,07:40:00,22.799999999999997,B23,B2,lower,8.0,3.6999999999999957,19.37172774869107
2022-03-01,9,06:45:00,27.099999999999994,B23,B2,lower,9.0,4.299999999999997,18.859649122807
2022-03-02,10,06:55:00,32.099999999999994,B23,B2,lower,10.0,5.0,18.450184501845012
2022-03-03,11,09:50:00,37.7,B23,B2,lower,11.0,5.6000000000000085,17.445482866043637
2022-03-04,12,08:20:00,42.3,B23,B2,lower,12.0,4.599999999999994,12.201591511936316
2022-03-05,13,07:30:00,48.7,B23,B2,lower,13.0,6.400000000000006,15.13002364066196
2022-03-06,14,06:00:00,56.0,B23,B2,lower,14.0,7.299999999999997,14.98973305954825
2022-03-07,15,06:00:00,64.4,B23,B2,lower,15.0,8.400000000000006,15.000000000000014
2022-03-08,16,07:30:00,74.8,B23,B2,lower,16.0,10.399999999999991,16.149068322981353
2022-03-09,17,09:00:00,82.8,B23,B2,lower,17.0,8.0,10.6951871657754
2022-03-10,18,02:45:00,89.6,B23,B2,lower,18.0,6.799999999999997,8.212560386473422
2022-03-11,19,07:50:00,97.9,B23,B2,lower,19.0,8.300000000000011,9.263392857142861
2022-03-12,20,07:30:00,104.80000000000001,B23,B2,lower,20.0,6.900000000000006,7.048008171603692
2022-03-13,21,06:50:00,112.1,B23,B2,lower,21.0,7.299999999999983,6.965648854961826
2022-03-14,22,06:45:00,117.1,B23,B2,lower,22.0,5.0,4.460303300624435
2022-03-15,23,06:00:00,123.30000000000001,B23,B2,lower,23.0,6.200000000000017,5.294619982920601
2022-03-16,24,05:08:00,128.4,B23,B2,lower,24.0,5.099999999999994,4.1362530413625365
2022-03-17,25,07:10:00,136.0,B23,B2,lower,25.0,7.599999999999994,5.919003115264787
2022-03-18,26,06:51:00,141.6,B23,B2,lower,26.0,5.599999999999994,4.117647058823515
2022-03-19,27,06:40:00,145.8,B23,B2,lower,27.0,4.200000000000017,2.9661016949152685
2022-03-20,28,05:25:00,141.9,B23,B2,lower,28.0,-3.9000000000000057,-2.6748971193415683
2022-03-21,29,04:00:00,148.0,B23,B2,lower,29.0,6.099999999999994,4.298801973220567
2022-03-22,30,05:00:00,153.1,B23,B2,lower,30.0,5.099999999999994,3.4459459459459385
2022-03-23, 31 (harvest),,,B23,B2,lower,,,
2022-02-21,1,05:00:00,2.700000000000003,B24,B2,lower,1.0,,
2022-02-22,2,05:40:00,8.299999999999997,B24,B2,lower,2.0,5.599999999999994,207.407407407407
2022-02-23,3,06:10:00,10.100000000000001,B24,B2,lower,3.0,1.8000000000000043,21.686746987951878
2022-02-24,4,03:30:00,10.700000000000003,B24,B2,lower,4.0,0.6000000000000014,5.940594059405946
2022-02-25,5,05:00:00,14.0,B24,B2,lower,5.0,3.299999999999997,30.841121495327073
2022-02-26,6,06:50:00,17.200000000000003,B24,B2,lower,6.0,3.200000000000003,22.857142857142886
2022-02-27,7,07:40:00,21.0,B24,B2,lower,7.0,3.799999999999997,22.093023255813925
2022-02-28,8,07:40:00,25.200000000000003,B24,B2,lower,8.0,4.200000000000003,20.000000000000018
2022-03-01,9,06:45:00,30.400000000000006,B24,B2,lower,9.0,5.200000000000003,20.63492063492065
2022-03-02,10,06:55:00,36.0,B24,B2,lower,10.0,5.599999999999994,18.421052631578917
2022-03-03,11,09:50:00,41.5,B24,B2,lower,11.0,5.5,15.277777777777768
2022-03-04,12,08:20:00,47.099999999999994,B24,B2,lower,12.0,5.599999999999994,13.493975903614452
2022-03-05,13,07:30:00,54.0,B24,B2,lower,13.0,6.900000000000006,14.64968152866244
2022-03-06,14,06:00:00,62.3,B24,B2,lower,14.0,8.299999999999997,15.370370370370367
2022-03-07,15,06:00:00,71.7,B24,B2,lower,15.0,9.400000000000006,15.08828250401284
2022-03-08,16,07:30:00,82.5,B24,B2,lower,16.0,10.799999999999997,15.062761506276146
2022-03-09,17,09:00:00,92.80000000000001,B24,B2,lower,17.0,10.300000000000011,12.484848484848499
2022-03-10,18,02:45:00,100.80000000000001,B24,B2,lower,18.0,8.0,8.62068965517242
2022-03-11,19,07:50:00,110.80000000000001,B24,B2,lower,19.0,10.0,9.92063492063493
2022-03-12,20,07:30:00,119.19999999999999,B24,B2,lower,20.0,8.399999999999977,7.581227436823079
2022-03-13,21,06:50:00,127.30000000000001,B24,B2,lower,21.0,8.100000000000023,6.795302013422844
2022-03-14,22,06:45:00,134.4,B24,B2,lower,22.0,7.099999999999994,5.57737627651218
2022-03-15,23,06:00:00,140.9,B24,B2,lower,23.0,6.5,4.836309523809534
2022-03-16,24,05:08:00,147.3,B24,B2,lower,24.0,6.400000000000006,4.54222853087296
2022-03-17,25,07:10:00,153.6,B24,B2,lower,25.0,6.299999999999983,4.276985743380846
2022-03-18,26,06:51:00,160.1,B24,B2,lower,26.0,6.5,4.231770833333326
2022-03-19,27,06:40:00,164.5,B24,B2,lower,27.0,4.400000000000006,2.7482823235477793
2022-03-20,28,05:25:00,159.2,B24,B2,lower,28.0,-5.300000000000011,-3.221884498480254
2022-03-21,29,04:00:00,165.2,B24,B2,lower,29.0,6.0,3.7688442211055273
2022-03-22,30,05:00:00,171.0,B24,B2,lower,30.0,5.800000000000011,3.510895883777243
2022-03-23, 31 (harvest),,,B24,B2,lower,,,
2022-02-21,1,05:00:00,3.8999999999999986,B25,B2,lower,1.0,,
2022-02-22,2,05:40:00,8.5,B25,B2,lower,2.0,4.600000000000001,117.94871794871801
2022-02-23,3,06:10:00,10.100000000000001,B25,B2,lower,3.0,1.6000000000000014,18.823529411764728
2022-02-24,4,03:30:00,11.100000000000001,B25,B2,lower,4.0,1.0,9.90099009900991
2022-02-25,5,05:00:00,13.600000000000001,B25,B2,lower,5.0,2.5,22.522522522522515
2022-02-26,6,06:50:00,16.799999999999997,B25,B2,lower,6.0,3.1999999999999957,23.52941176470584
2022-02-27,7,07:40:00,20.0,B25,B2,lower,7.0,3.200000000000003,19.04761904761907
2022-02-28,8,07:40:00,23.799999999999997,B25,B2,lower,8.0,3.799999999999997,18.999999999999993
2022-03-01,9,06:45:00,28.400000000000006,B25,B2,lower,9.0,4.6000000000000085,19.327731092437016
2022-03-02,10,06:55:00,34.599999999999994,B25,B2,lower,10.0,6.199999999999989,21.830985915492906
2022-03-03,11,09:50:00,38.3,B25,B2,lower,11.0,3.700000000000003,10.693641618497129
2022-03-04,12,08:20:00,43.7,B25,B2,lower,12.0,5.400000000000006,14.099216710182795
2022-03-05,13,07:30:00,49.3,B25,B2,lower,13.0,5.599999999999994,12.814645308924465
2022-03-06,14,06:00:00,56.5,B25,B2,lower,14.0,7.200000000000003,14.604462474645041
2022-03-07,15,06:00:00,65.2,B25,B2,lower,15.0,8.700000000000003,15.398230088495591
2022-03-08,16,07:30:00,73.0,B25,B2,lower,16.0,7.799999999999997,11.963190184049077
2022-03-09,17,09:00:00,81.7,B25,B2,lower,17.0,8.700000000000003,11.917808219178095
2022-03-10,18,02:45:00,87.8,B25,B2,lower,18.0,6.099999999999994,7.466340269277838
2022-03-11,19,07:50:00,95.9,B25,B2,lower,19.0,8.100000000000009,9.22551252847381
2022-03-12,20,07:30:00,102.4,B25,B2,lower,20.0,6.5,6.777893639207511
2022-03-13,21,06:50:00,109.19999999999999,B25,B2,lower,21.0,6.799999999999983,6.640624999999978
2022-03-14,22,06:45:00,115.69999999999999,B25,B2,lower,22.0,6.5,5.952380952380953
2022-03-15,23,06:00:00,120.5,B25,B2,lower,23.0,4.800000000000011,4.148660328435616
2022-03-16,24,05:08:00,127.0,B25,B2,lower,24.0,6.5,5.394190871369298
2022-03-17,25,07:10:00,132.8,B25,B2,lower,25.0,5.800000000000011,4.566929133858277
2022-03-18,26,06:51:00,137.5,B25,B2,lower,26.0,4.699999999999989,3.5391566265060126
2022-03-19,27,06:40:00,141.9,B25,B2,lower,27.0,4.400000000000006,3.200000000000003
2022-03-20,28,05:25:00,136.7,B25,B2,lower,28.0,-5.200000000000017,-3.6645525017618197
2022-03-21,29,04:00:00,142.9,B25,B2,lower,29.0,6.200000000000017,4.535479151426491
2022-03-22,30,05:00:00,148.1,B25,B2,lower,30.0,5.199999999999989,3.638908327501733
2022-03-23, 31 (harvest),,,B25,B2,lower,,,
2022-02-21,1,05:00:00,3.299999999999997,B26,B2,lower,1.0,,
2022-02-22,2,05:40:00,8.5,B26,B2,lower,2.0,5.200000000000003,157.5757575757578
2022-02-23,3,06:10:00,9.799999999999997,B26,B2,lower,3.0,1.2999999999999972,15.29411764705879
2022-02-24,4,03:30:00,10.700000000000003,B26,B2,lower,4.0,0.9000000000000057,9.18367346938782
2022-02-25,5,05:00:00,13.0,B26,B2,lower,5.0,2.299999999999997,21.495327102803707
2022-02-26,6,06:50:00,15.399999999999999,B26,B2,lower,6.0,2.3999999999999986,18.46153846153844
2022-02-27,7,07:40:00,17.700000000000003,B26,B2,lower,7.0,2.3000000000000043,14.935064935064958
2022-02-28,8,07:40:00,20.200000000000003,B26,B2,lower,8.0,2.5,14.124293785310726
2022-03-01,9,06:45:00,23.5,B26,B2,lower,9.0,3.299999999999997,16.336633663366328
2022-03-02,10,06:55:00,27.200000000000003,B26,B2,lower,10.0,3.700000000000003,15.74468085106384
2022-03-03,11,09:50:00,31.599999999999994,B26,B2,lower,11.0,4.3999999999999915,16.176470588235258
2022-03-04,12,08:20:00,35.400000000000006,B26,B2,lower,12.0,3.8000000000000114,12.025316455696245
2022-03-05,13,07:30:00,40.400000000000006,B26,B2,lower,13.0,5.0,14.124293785310726
2022-03-06,14,06:00:00,45.7,B26,B2,lower,14.0,5.299999999999997,13.118811881188108
2022-03-07,15,06:00:00,53.099999999999994,B26,B2,lower,15.0,7.3999999999999915,16.19256017505468
2022-03-08,16,07:30:00,62.2,B26,B2,lower,16.0,9.100000000000009,17.13747645951038
2022-03-09,17,09:00:00,70.3,B26,B2,lower,17.0,8.099999999999994,13.022508038585201
2022-03-10,18,02:45:00,76.3,B26,B2,lower,18.0,6.0,8.534850640113788
2022-03-11,19,07:50:00,85.7,B26,B2,lower,19.0,9.400000000000006,12.31979030144168
2022-03-12,20,07:30:00,93.4,B26,B2,lower,20.0,7.700000000000003,8.984830805134191
2022-03-13,21,06:50:00,100.80000000000001,B26,B2,lower,21.0,7.400000000000006,7.922912205567467
2022-03-14,22,06:45:00,107.69999999999999,B26,B2,lower,22.0,6.899999999999977,6.845238095238071
2022-03-15,23,06:00:00,113.69999999999999,B26,B2,lower,23.0,6.0,5.571030640668528
2022-03-16,24,05:08:00,121.5,B26,B2,lower,24.0,7.800000000000011,6.860158311345654
2022-03-17,25,07:10:00,131.1,B26,B2,lower,25.0,9.599999999999994,7.901234567901239
2022-03-18,26,06:51:00,138.3,B26,B2,lower,26.0,7.200000000000017,5.491990846681927
2022-03-19,27,06:40:00,142.7,B26,B2,lower,27.0,4.399999999999977,3.1814895155458878
2022-03-20,28,05:25:00,139.1,B26,B2,lower,28.0,-3.5999999999999943,-2.522775052557813
2022-03-21,29,04:00:00,146.5,B26,B2,lower,29.0,7.400000000000006,5.319913731128678
2022-03-22,30,05:00:00,154.1,B26,B2,lower,30.0,7.599999999999994,5.187713310580211
2022-03-23, 31 (harvest),,,B26,B2,lower,,,
2022-02-21,1,05:00:00,4.5,B27,B2,lower,1.0,,
2022-02-22,2,05:40:00,9.0,B27,B2,lower,2.0,4.5,100.0
2022-02-23,3,06:10:00,10.5,B27,B2,lower,3.0,1.5,16.666666666666675
2022-02-24,4,03:30:00,11.600000000000001,B27,B2,lower,4.0,1.1000000000000014,10.476190476190483
2022-02-25,5,05:00:00,13.200000000000003,B27,B2,lower,5.0,1.6000000000000014,13.793103448275868
2022-02-26,6,06:50:00,15.299999999999997,B27,B2,lower,6.0,2.0999999999999943,15.909090909090873
2022-02-27,7,07:40:00,17.299999999999997,B27,B2,lower,7.0,2.0,13.0718954248366
2022-02-28,8,07:40:00,19.700000000000003,B27,B2,lower,8.0,2.4000000000000057,13.872832369942234
2022-03-01,9,06:45:00,22.0,B27,B2,lower,9.0,2.299999999999997,11.675126903553279
2022-03-02,10,06:55:00,25.0,B27,B2,lower,10.0,3.0,13.636363636363647
2022-03-03,11,09:50:00,28.099999999999994,B27,B2,lower,11.0,3.0999999999999943,12.399999999999967
2022-03-04,12,08:20:00,31.099999999999994,B27,B2,lower,12.0,3.0,10.676156583629904
2022-03-05,13,07:30:00,34.8,B27,B2,lower,13.0,3.700000000000003,11.897106109324774
2022-03-06,14,06:00:00,39.2,B27,B2,lower,14.0,4.400000000000006,12.643678160919558
2022-03-07,15,06:00:00,43.7,B27,B2,lower,15.0,4.5,11.479591836734704
2022-03-08,16,07:30:00,48.8,B27,B2,lower,16.0,5.099999999999994,11.67048054919908
2022-03-09,17,09:00:00,54.599999999999994,B27,B2,lower,17.0,5.799999999999997,11.88524590163933
2022-03-10,18,02:45:00,59.400000000000006,B27,B2,lower,18.0,4.800000000000011,8.791208791208804
2022-03-11,19,07:50:00,64.6,B27,B2,lower,19.0,5.199999999999989,8.754208754208737
2022-03-12,20,07:30:00,69.6,B27,B2,lower,20.0,5.0,7.739938080495357
2022-03-13,21,06:50:00,74.9,B27,B2,lower,21.0,5.300000000000011,7.6149425287356465
2022-03-14,22,06:45:00,78.1,B27,B2,lower,22.0,3.1999999999999886,4.272363150867808
2022-03-15,23,06:00:00,83.1,B27,B2,lower,23.0,5.0,6.402048655569792
2022-03-16,24,05:08:00,86.3,B27,B2,lower,24.0,3.200000000000003,3.8507821901323736
2022-03-17,25,07:10:00,92.1,B27,B2,lower,25.0,5.799999999999997,6.720741599072988
2022-03-18,26,06:51:00,96.19999999999999,B27,B2,lower,26.0,4.099999999999994,4.45168295331162
2022-03-19,27,06:40:00,99.6,B27,B2,lower,27.0,3.4000000000000057,3.534303534303551
2022-03-20,28,05:25:00,98.4,B27,B2,lower,28.0,-1.1999999999999886,-1.2048192771084265
2022-03-21,29,04:00:00,104.30000000000001,B27,B2,lower,29.0,5.900000000000006,5.9959349593496025
